2025-03-02 10:58:35 INFO     Server starting up Running python 3.12.4 on darwin with matterport-dl version: refs/heads/main (51de7f6ee97f87a280b01274f7c3194904d578a6)
2025-03-02 11:07:42 INFO     Redirecting / => /index.modified.html as modified version exists
2025-03-02 11:07:42 INFO     Using our javascript network proxier
2025-03-02 11:07:42 INFO     Redirecting /js/runtime~showcase.4a33adce3255bdac4e97.js => /js/runtime_showcase.4a33adce3255bdac4e97.js as None
2025-03-02 11:07:42 INFO     Redirecting /?m=aRk3tgg2EJk => /index.modified.html as modified version exists
2025-03-02 11:07:43 INFO     Using our javascript network proxier
2025-03-02 11:07:43 INFO     Redirecting /js/runtime~showcase.4a33adce3255bdac4e97.js => /js/runtime_showcase.4a33adce3255bdac4e97.js as None
2025-03-02 11:07:43 INFO     Redirecting /js/vendors-react.a56089c1cf154062b899.js => /js/vendors-react.a56089c1cf154062b899.modified.js as modified version exists
2025-03-02 11:07:43 INFO     Redirecting /js/showcase.2e19d5e0f71567ded6d4.js => /js/showcase.2e19d5e0f71567ded6d4.modified.js as modified version exists
2025-03-02 11:07:43 INFO     Handling a graph request on /api/mp/models/graph?operationName=GetModelViewPrefetch&variables=%7B%22viewLookup%22%3A%22default%22%2C%22modelId%22%3A%22aRk3tgg2EJk%22%2C%22includeDisabled%22%3Afalse%2C%22includeLayers%22%3Atrue%7D&extensions=%7B%22persistedQuery%22%3A%7B%22version%22%3A1%2C%22sha256Hash%22%3A%2242e0646bb2828eb72d786a6bf71c9f920eb31947297ae78aab277a76e9a10525%22%7D%7D: graph of operationName: GetModelViewPrefetch we are handling internally
2025-03-02 11:07:43 INFO     Handling a graph request on /api/mp/models/graph?operationName=GetSnapshots&variables=%7B%22modelId%22%3A%22aRk3tgg2EJk%22%7D&extensions=%7B%22persistedQuery%22%3A%7B%22version%22%3A1%2C%22sha256Hash%22%3A%225923206a044aa55700f6c783465407232ae62e9853111130ae2440eb1bef7a0c%22%7D%7D: graph of operationName: GetSnapshots we are handling internally
2025-03-02 11:07:43 INFO     Handling a graph request on /api/mp/models/graph?operationName=GetRoomBounds&variables=%7B%22modelId%22%3A%22aRk3tgg2EJk%22%7D&extensions=%7B%22persistedQuery%22%3A%7B%22version%22%3A1%2C%22sha256Hash%22%3A%22631a5eec3f3ec3745b000ae30d522e70c085b3a951f65b7ebb5f9a7efedd5848%22%7D%7D: graph of operationName: GetRoomBounds we are handling internally
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0,y0.125.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0,y0.375.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0,y0.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0,y0.25.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0,y0.5.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0,y0.625.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0,y0.75.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0,y0.875.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.125,y0.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.125,y0.125.jpg falling back to full res may show visual issues
2025-03-02 11:07:44 WARNING  Requested crop texture not found: /models/5afa7b62fd8d44318b4ad7d059cab7db/assets/mesh_tiles/_/1/lod1_room0_chunk64_000.jpgcrop=512,512,x0.125,y0.25.jpg falling back to full res may show visual issues
